试题内容	答案
机车的检修和运用是铁路运输工作的重要组成部分，也是机务部门的(    )。	B
发现接触网断线掉在地上，在接触网检修人员到达之前，将该处加以防护，任何人员均应距已断线接地处（    ）米以外。	 B
电伤是指（    ）通过人体时，人体外部组织受到局部损害。	C
油脂中的水分含量是用（    ）与定量试验两种方法测定	C
车钩牵引力是（    ）除去驱动机车本身的阻力消耗，实际作用在车钩上的牵引力。	C
盘行制动是使用带有闸片的（    ）夹紧安装在车轮两侧或车轴上的制动盘发生摩擦力而产生制动作用。	B
制动盘装载车轮上的叫（    ）盘行制动基础装置。	A
加入备用的机车，自接到批准备命令起，机务段应在（    ）内完成整备、防腐、防冻工作。	A
信号装置一般分为（    ）和信号表示器两类。	C
机车应有识别的标记，电气化区段运行的机车应有(    )的标识。	B
（    ）是指机务、车辆、工务、电务、供电等段专用并由其管理的线路。	C
全国铁路的行车时刻，均以北京时间为标准，从零时起计算，实行（    ）小时制。	C
列车运行，原则上以开往（    ）方向为上行，反之为下行。	B
列车按运输性质的分类：旅客列车；特快货物班列；（    ）；货物列车；路用列车。	A 
铁路职工或其他人员发现设备故障危及行车和人身安全时，应立即向开来列车发出（    ）信号。	A 
NJ2型内燃机车的电传动方式为（    ）。	C
NJ2型内燃机车发电机随机发出三相交流电，送到主整流器，主整流器将三相交流电变换成直流电源，形成中间直流环节。额定的中间直流电压为（    ）V。	B
NJ2内燃机车车体型式为（    ）。	A
HXN3型内燃机车柴油机和牵引发电机装置组成（    ）间。	A
CCBⅡ型制动系统自动制动阀抑制位的作用是(     )。	C
机车检修工作的指导方针是(    )。	C
国产内燃机车每（    ）进行一次大修。	C
机车电阻制动是通过制动电阻将电能转化为（    ）而消耗掉。	B
内燃机车上的启动发电机在柴油机启动过程中，作为电动机运行，柴油机启动后，又由柴油机带动其运转，作为（    ）运行。	A
以压缩空气为动力，通过控制传动装置使闸片压紧装在车轴（或车轮）上制动盘产生摩擦而形成的制动力称为（    ）。	B
(    )灭火器适用于消除电器，油脂及贵重机件和物品以及室内火灾。	A
按照(    )要求，对防寒过冬应提前做好准备。	A
每年(    )月份，各单位安排工作、组织运输生产时，要把冬季前的防寒过冬培训工作尽早纳入重要议事日程。	C
凡距地面(   )m以上的处所进行的作业，均称为高空作业。严冬季节高空作业时，高空连续作业时间不易过长，以防手脚麻木发生危险。	A
我国的安全生产方针是()、预防为主。	B
 一切机械设备均须指定专人负责，未经许可他人不得擅自动用。                    	A
“三不伤害”内容为：我不伤害自己，我不伤害他人，我不被他人伤害。 	A
“一站、二看、三通过”制度，是专为铁路职工制定的。                          	B
"1243工况的含义为30度摆动,两块配重,使用一侧支腿,支腿大于等于3.6米,配重全伸12米。  "	B
25B型客车吊点距为12650mm。                                                 	A
25K型发电车自重58.5t。                                                     	A
DF7型机车长度为21100㎜。                                                  	A
G70K型无中梁油罐车自重25t。                                                	B
HXD3C型电力机车转向架重30.1t。                                             	A
LKJ产生的列车运行记录数据是行车安全分析的重要依据，任何单位和人员不得更改。	A
NJ2机车空气干燥器装有一个湿度指示器，它能告诉维修人员有关空气干燥器的运行状况。蓝颜色表示干燥器工作正常。任何其它颜色诸如淡紫色、白色、黄色或褐色都表明需要进一步检查干燥器。	A
NS1600—001表示内燃式、标准轨距、伸缩吊臂，最大起重量为180吨、进口型铁路起重机，为生产的第一台。	B
NS1600轨道轨道起重机夜间作业以音响为主。 	B
NS1600轨道轨道起重机在坡道上作业时，单独手柄必须置于制动位，并使用支腿。 	B
NS1600轨道起重臂工作半径为7米-25米。  	B
NS1600轨道起重臂有效伸缩速度为6米/秒  	A
NS1600轨道起重机，不打支腿工作前，一定要打开自动倾斜补偿装置。   	A
NS1600轨道起重机，发动机断油停机后，用手动泵排气后可正常启动。    	B
"NS1600轨道起重机，如果从驾驶室不能操作调平机构,可在起重机下车手动调整。  "	A
"NS1600轨道起重机，如果倾斜补偿器达到危险的范围,中央监控系统的显示器会发出错误信息。在严重的情况下,倾斜补偿器系统会自动关闭"	A
NS1600轨道起重机，上车副油箱油位在监视菜单上的显示代号是U205。      	A
NS1600轨道起重机，手制动系统的指示器两个都为绿色时表示没有设定制动	A
NS1600轨道起重机，锁定闭锁油缸时工作风压要大于3bar。  	B
NS1600轨道起重机，下车共有8个弹簧锁闭油缸。  	A
NS1600轨道起重机，下车急停按钮按下，下车油泵可继续给上车副油箱供油。  	B
NS1600轨道起重机，下车装有1个向上车供油的电子油泵。  	B
NS1600轨道起重机，选择支腿自动六米工作模式时只能从驾驶室进行操作。  	A
NS1600轨道起重机，支腿的操作只能在驾驶室内完成。  	B
NS1600轨道起重机，走行挂齿显示黄色符号也可走行。  	B
NS1600轨道起重机。按下支腿上的急停按钮，全车动作停止。  	B
NS1600轨道起重机按规定办理无火回送时，制动机不应加入制动系统，以保证起重机的运行平稳。 	B
NS1600轨道起重机臂架平车的大臂支撑油缸的压力，应该控制在20bar左右。	B
NS1600轨道起重机不得起吊重量不清的物体和吊拔埋置或冻结在地面的物件。   	A
NS1600轨道起重机不仅可应用于车辆事故救援，还可用于铺设轨排更换道岔，以及架设桥梁等工程作业。	B
NS1600轨道起重机除连挂吊臂平车自力运行外，禁止进行任何调车作业。	A
NS1600轨道起重机储风缸是起重机操纵机构的装置，其功用是储存压力空气，给操纵机构提供动力。	A
NS1600轨道起重机大臂的变幅和伸缩，都可以通过左手柄的加速按钮进行加速	B
NS1600轨道起重机的变幅、起升钢丝绳末端的固定均使用的是骑马式绳卡。	A
NS1600轨道起重机的发动机在怠速状态下，发动机的转速大约为1200r/min。	B
NS1600轨道起重机的回转速度是指在空载状态下，基本臂在最大仰角内，上车回转时的速度。        	B
NS1600轨道起重机的起重能力主要由其的构造和吊臂变幅时间决定的。    	B
NS1600轨道起重机的三节臂锁定销，是靠风压解锁。  	A
"NS1600轨道起重机的维护保养,是指起重机每天进行的正常检查与保养，它的目的是清洁、润滑、补充燃料以及检查起重机工作状况。"	A
NS1600轨道起重机的稳定性可分为行使状态稳定性和工作状态稳定性。   	A
NS1600轨道起重机的稳定性是保证其具有足够的抗倾翻安全性。         	B
NS1600轨道起重机的重载起升速度是指在起重机的起升在稳定运动状态下，吊钩起升最大额定起重量时垂直向上的位移速度。    	A
NS1600轨道起重机电气系统应保证起重机的控制性能全面、安全、可靠。    	B
NS1600轨道起重机电源系统是由蓄电池组、电源总开关、充电发电机、监视仪表、导线等部分组成，其作用是为全车用电设备提供工作电源。	A
NS1600轨道起重机吊臂全伸时间是指在空载状态下，吊臂由全缩状态运动到全伸状态所用的时间。    	B
NS1600轨道起重机吊臂伸缩工作机构由吊臂和伸缩臂油缸组成，吊臂分基本臂、二节臂和三节臂。	A
NS1600轨道起重机吊臂是采用特殊材料和工艺制造的，允许在上边焊接元件。	B
NS1600轨道起重机吊臂为三节伸缩式吊臂，八边形结构，用高强度钢制造，具有强度高、刚度好、自重轻、自动对中、运动阻力小的特点。	A
NS1600轨道起重机吊钩组成主要由吊钩滑轮、推力轴承、吊钩及螺母等组成。	B
NS1600轨道起重机发动机间的百叶窗会根据温度的变化自动开闭，不需要人为手动进入<br>操作页面里进行操作。  	B
NS1600轨道起重机发动机熄火时，油门踏板不需要踩回怠速原位。  	B
NS1600轨道起重机分流集流阀的作用是使两个配重油缸同步平稳地实现升降动作.	A
NS1600轨道起重机工作或停留时，要关闭各检查侧门，以防外火源进入机械室内。	A
NS1600轨道起重机共有4个紧急停车按钮，支腿2个，司机室1个、配重操纵板1个。	B
NS1600轨道起重机回送最高时速为120km/h。	B
NS1600轨道起重机回转架是起重机上车的主要承载构架，其上安装着吊臂、变幅油缸、液压泵、阀及起升、回转机构。	B
NS1600轨道起重机交接出厂时，不允许蓄电池空瓶随机出厂。      	B
NS1600轨道起重机禁止同时进行两种及以上的联合作业。  	B
NS1600轨道起重机可通过的最小曲线半径都是145m。    	B
NS1600轨道起重机可以不使用支腿在曲线上进行作业。	B
NS1600轨道起重机空气系统包括空气动力装置和空气操纵系统两部分。	A
NS1600轨道起重机空气制动系统分为自力走行制动和车辆连挂制动两部分，即上车部分和下车部分。 	A
NS1600轨道起重机控制指示灯都具有测试功能，确保其功能正常。  	A
NS1600轨道起重机配重伸缩范围为7m—12.5m。    	A
NS1600轨道起重机配重油路平衡阀的作用是：起重机在可卸重铁下放时，防止因重铁自重的作用引起重铁下放失速、不平稳、抖动、噪音，使重铁放到正确位置。	A
NS1600轨道起重机起升机构的尼龙滑轮应每月检查一次，同时进行润滑，防止钢丝绳跳槽，防止受热变形或热灼伤。	A
NS1600轨道起重机起重机发动机熄火后，中央控制系统自动关闭。  	B
NS1600轨道起重机起重稳定计算，是指运行式起重机在吊重状态下进行的。   	B
"NS1600轨道起重机倾斜补偿器使起重机上车在轨道高度差小于 160mm 的情况下,保持水平的位置。 "	A
NS1600轨道起重机任何时候都可设定侧面限位器。	B
NS1600轨道起重机如果一台柴油机出现故障，另一台柴油机不允许单独完成工作。	B
NS1600轨道起重机上使用的液压马达有两种，分别是回转、走行和卷扬马达。   	A
NS1600轨道起重机使用固定配重也能伸缩。  	B
NS1600轨道起重机使用支腿不可增加并改变支点，增大力矩，增加起重量。   	B
NS1600轨道起重机手制动是依靠刹车线通过螺杆传动机构来操作制动汽缸。  	A
NS1600轨道起重机双回转最大范围为±30°。  	A
NS1600轨道起重机司机室内，油门及制动踏板附近禁止放置任何物品，以防（挤）住踏板而发生危险。  	A
NS1600轨道起重机停放在坡道上，应用手制动装置实施制动，可以不用放止轮器。	B
NS1600轨道起重机为使支腿转动灵活，应使支腿轴保持良好的润滑，定期检查支腿钢结构是否有变形，特别是在吊重载之后。	A
NS1600轨道起重机携带平车自力走行进入现场时，可按起重机设计速度运行35km/h运行。	B
NS1600轨道起重机需要储备风压达到10bar后才可以正常工作。	B
NS1600轨道起重机需要自力运行时，应将走行离合器接合，开发无动力回送装置。    	B
NS1600轨道起重机要不定期经常地检查伸缩臂是否有撞伤、擦伤，以及其它损伤。	A
NS1600轨道起重机夜间作业以音响为主。                          	B
NS1600轨道起重机液压泵P1为自力走行机构、配重、卷扬机构、伸缩机构2、伸缩机构<br>的快速动作、变幅机构的快速动作提供工作压力。	A
NS1600轨道起重机液压泵P2为回转机构、摆动机构提供液压油源。	A
NS1600轨道起重机液压泵P5为液压油冷却风扇提供液压油源。	A
NS1600轨道起重机液压系统应保证起重机作业安全、可靠、使用方便。    	B
NS1600轨道起重机液压系统中先导控制回油管是直接通往油箱的。    	A
NS1600轨道起重机液压油箱应每隔三个月清洗一次，在每次换油时也应同时清洗液压油箱，清洗干净后再加入新油。	B
NS1600轨道起重机应按照所规定的周期及润滑油牌进行补充或更换，各油杯必须油量充足并保持管路通畅。	A
NS1600轨道起重机由动力装置、工作机构、液压系统和电气系统四大部分组成。	B
"NS1600轨道起重机有 1 个紧急停机按钮在驾驶室里,另有 4 个紧急停机按钮在起重机下车上。"	A
NS1600轨道起重机有关部件冻结后解冻时，严禁用火烤解冻，以防损坏部件和引起火灾。	A
NS1600轨道起重机与吊臂平车无动力回送时，不能分解运输，可以编挂在列车中部。  	A
NS1600轨道起重机在吊5t以下的物体时可以不使用支腿进行回转或作业。  	B
NS1600轨道起重机在吊有重物的情况下，可以进行三节臂伸缩和配重伸缩。	B
NS1600轨道起重机在工作中，液压油不够时，允许用其他种类的液压油代替，工作完毕应对全部液压油进行更换。 	B
NS1600轨道起重机在开始任何维修操作前，先断开电瓶的主开关，在维修工作地点和司机室挂“禁动牌”。	A
NS1600轨道起重机在没有臂架平车的情况下，不允许使用机车牵引。	A
NS1600轨道起重机在坡道上作业时，单独手柄必须置于制动位，并使用支腿。	B
NS1600轨道起重机在曲线作业时，向曲线外侧回转起重量减少20%。    	B
NS1600轨道起重机在停止作业状态下，禁止吊钩上悬挂重物。     	A
NS1600轨道起重机在未正式投入使用前，应检验其功能，进行全载荷的操作。  	B
NS1600轨道起重机在下车急停按钮被按下后，发动机仍可以长时间正常运行。	B
NS1600轨道起重机在线路上靠本身动力走行的速度称为自力走行速度。    	B
NS1600轨道起重机在有急停按钮被按下的情况下，起重机司机，在驾驶室内可以查看到<br>具体被按下的急停按钮的位置。  	A
NS1600轨道起重机在重物提升回转时，启动和停车一定要平稳。          	A
NS1600轨道起重机在自力行走接近连挂车辆时，不得超过10km/h。	B
NS1600轨道起重机在作业过程中，要求具有平稳性，安全可靠性及高速度。	B
NS1600轨道起重机在作业过程中，在高压管路上，即使发生微小或局部的泄漏、喷泄现象，也应停机维修，决不能直接用手堵塞或拆卸维修。	A
NS1600轨道起重机在作业时，幅度较小，重物体积较大时，可将车钩装置与座板的连接螺栓卸下。     	A
NS1600轨道起重机支腿垂直油缸最大伸出长度800（mm）。	A
NS1600轨道起重机支腿油活塞杆全伸时，支座底面距轨面的垂直距离小于等于30n'UTI。    	A
NS1600轨道起重机主要由钢结构部分、动力传动系统、液压系统、空气系统、电气系统、安全监控系统等六大部分组成。	B
NS1600轨道起重机专用臂架平车与轨道起重机虽为一体，但检修周期不同步，其中臂架平车与专用车辆一致。 	B
NS1600轨道起重机转向架的作用是引导起重机沿铁路线路运行，并把起重机的重量和所承受的外载荷传递给钢轨。	A
NS1600轨道起重机自力运行时，经过侧线道岔，出入厂房，接近连挂车辆安全线、尽头线及上、下转盘时应不超过5km/h。             	B
NS1600轨道起重机自力走行的最高速度为25km/h。  	A
NS1600轨道起重机自力走行作业时，安装前后台车走行指示等闪烁，发出黄色闪光信号，提醒工作在现场的人员注意安全。	A
NS1600轨道起重机总重为220吨。  	B
NS1600轨道起重机作业前，应对制动器、离合器、吊钩、钢丝绳和安全装置进行检查，如发现异常，不得使用。	A
NS1600轨道起重机作业时，负荷起升在空中时，司机不得离开驾驶室。     	A
NS1600轨道起重机作业时，载荷提升悬空停留，柴油机转数应高于原提升转速，以防止重物下滑。                                            	A
NS1600轨道起重机作业时应根据地面指挥信号进行，但对指挥人发出的紧急停车信号外，其他人员发出的停车信号可以不执行。  	B
NS1600轨道起重机作业完毕后，各锁定装置必须恢复进入回送状态。	A
NS1600轨道重机的燃油箱容量为3000L，液压油箱容量为900L。  	B
NS1600轨道重机有4个驱动轮对，液压马达驱动。  	A
NS1600起重臂有效伸缩速度为6米/秒。 	A
NS1600起重机从工作状态到回送状态时，使用强制钥匙将吊钩收到顶，副司机要观察指挥，防止钢丝绳过卷。	A
NS1600起重机发动机间的百叶窗会根据温度的变化自动开闭，不需要人为手动进入操作页面里进行操作。 	B
NS1600起重机控制指示灯都具有测试功能，确保其功能正常。 	A
NS1600起重机使用固定配重也能伸缩。 	B
NS1600起重机双回转最大范围为±30°	A
"NS1600起重机所使用的普通接近传感器,绿灯代表电源指示。 "	A
NS1600起重机液压泵P2为回转机构、摆动机构提供液压油源。 	A
NS1600起重机液压泵P5为液压油冷却风扇提供液压油源。 	A
NS1600起重机在吊有重物的情况下，可以进行三节臂伸缩和配重伸缩。	B
NS1600起重机在没有臂架平车的情况下，不允许使用机车牵引。	A
NS1600起重机自力走行的最高速度为25km/h。	A
"爱护公物人人有责,所以灭火器材都要紧紧锁在固定位置,以防丢失。"	B
安全标志分为禁止标志、警告标志、指令标志、提示标志。	A
安全标志分为禁止标志、警告标志、指令标志和交通标志4大类型。	B
安全电压是指对人体不会引起生命危险的电压，一般指36V及其以下。	A
安全电压是指对人体可以引起生命危险的电压。	B
安全色包括红、蓝、黄、绿、白5种颜色。	B
安全生产“红线”条款，系指公司从业人员在运输生产过程中，必须令行禁止的基本行为准则和安全工作“底线”，一旦突破将可能导致事故发生的严重违章违纪行为。	A
安全运输生产是铁路运输工作的一贯指导方针，是铁路工作的一项重要原则。        	A
按机车的配属关系分为配属机车和非配属机车。	A
按列车动力轮对分布和驱动设备的设置来分：可分为动力集中型和动力分散型。	A
"按照《技规》规定,接触网带电部分距机车车辆或装载货物的距离,不少于200mm。"	B
摆动操作模式摆动正负30度，上车部分1起重臂可以一起摆动，上车部分2和配重被锁定在下车上，配重朝向轨道的走向。                  	A
"保护接零的目的在于使漏电设备迅速脱离电源,其次是降低故障设备的对地电压。"	A
保养蓄电池，定期清洁盖面，通气孔和电线接头，防止杂物进入电解液。 	A
被检查和检修的机车要挂禁动标志牌夜间作业挂夜间专用禁动标志灯。	A
闭塞设备分为自动闭塞、自动站间闭塞和半自动闭塞。	A
扁平结构钢丝绳由扁平钢丝股制成，它的外形接近于圆形。                       	A
便线开通法是在事故现场两侧有可以借用的线路或虽无线路可借用，但地形较平坦，新铺便线较容易，而且较清除障碍节省时间的情况下采用。                                	A
标准公差是指尺寸准确的程度。                                                	A
不得脚踏尖轨和道岔转动部分。可以从集中联动的道岔处通过。	B
不得擅自乱动库内各种电源插座、闸刀。	A
不规则物体的重心采用垂直悬挂法。                                            	A
"不需要在转动点火钥匙,当前实际状况就可显示更新的数值。  "	B
不执行“运输调度集中统一指挥、行车单一指挥”。 属于青藏铁路公司生产管理类“红线”。	A
不准穿硬底鞋及带钉鞋登高作业。                                              	A
不准在机车、车辆运行中提车钩、摘制动软管或调整钩位。	A
不准在铁路钢轨、枕木上坐卧、逗留。	A
"采用梯子更换灯泡作业时要严格采取防滑措施,但不必设专人看护。"	B
"操作人员平常操作时,可经常使用PAT强制解锁钥匙开关。  "	B
"操作人员平常操作时,可经常使用P答案：T强制解锁钥匙开关。 "	B
柴油机按散热方式来分，有水冷和风冷两种。  	A
柴油机的磨合试运应在无负荷空转下进行。	A
柴油机额定功率达不到的原因是活塞环磨损过大。 	A
柴油机供油量偏少是引起冒黑烟的原因之一。                 	B
柴油机排气管冒黑烟说明燃料在燃烧室内完全燃烧。           	B
柴油机启动电机连续工作时间不宜超过10s。      	B
柴油机起动前检查电起动系统，电路接线应无松动、脱落，蓄电池电压应充足。	A
柴油机起动前检查水泵黄油杯润滑油是否充满，风扇皮带的张紧度应在规定范围之内。	A
柴油机起动时，当外界温度在0℃以下时，应预热起动。      	B
柴油机气缸垫烧坏是引起排气管冒白烟的原因之一。  	A
柴油机燃油系统中的滤清器、输油管及喷油泵等机件内，若有空气存在，不会影响柴油机的正常运转。	B
柴油机一般采用封闭式强制循环水冷却，包括水泵节温器、水箱风扇等。    	A
柴油机组是否需要大修，要根据规定的工作小时来确定，一般为1000h。   	B
产品设备的可用性、可靠性、和维修性是产品固有的三大特性。 	A
常用的车钩复原装置有两种：弹簧式复原装置和吊杆式复原装置。	A
"常用的分区绝缘器有两种,玻璃钢分区绝缘器与环氧分区绝缘器。"	A
常用的机械图有两种，一种叫零件图，另一种叫装配图。    	A
车挡表示器设置在线路终端的车挡上，昼间一个红色方牌；夜间显示一个红色灯光。	A
车钩缓冲装置的作用是使机车和车辆或车辆之间连挂一起，并且传递牵引力和制动力，缓和列车运行或调车作业时所产生的冲击力。	A
车辆下坡时熄火或者空档行驶可以节约燃料。	B
车辆在道口或距道口较近的地方脱轨，一般需要安设复轨器，可利用道口的护轮轨进行起复。	B
车辆在轨道上运动是由于受到了拉力和推力的作用。    	A
车辆制动机按基础制动装置的摩擦方式分为闸瓦制动、盘形制动、轨道电磁制动。   	A
车轮成“骑马”式状态脱轨可以选用腰部或尾部加固的人字型复轨器，利用机车进行拉复。	A
车轮两台车交叉脱轨，利用海参型复轨器最为适宜。          	B
车轮踏面磨耗深度不超过5 mm；采用轮缘高度为25 mm磨耗型踏面时，磨耗深度不超过10 mm。	B
车轮脱轨在两轨之间，在两轨内侧距离1526mm处，安装二只人字型复轨器。        	B
车上车下同时作业或作业面积较大看不清起重信号时，必须联系确认后，方可发出信号继续作业。 	A
处理带压力部件的漏泄时，只须遮断压力来源，就可以进行作业。	B
"处于回送状态时,起重机上车两部分必须锁定在一起,不需要与起重机下车锁定"	B
触电时，通过人体的电压大小是决定人体伤害程度的主要原因之一。	B
触电时间越短，危险性越大。	B
"触电时人体会受到某种程度的伤害,按其形式可分为电击和电伤。"	A
"触电事故是多种多样的,多数是由于人体直接接触带电体,或者设备发生故障,或是人体过于靠近带电体等引起的。"	A
穿越线路时，要“一站、二看、三确认、四通过”，不得跨越地沟，不得钻越停留的机车、车辆。 	A
穿着绝缘靴是防护跨步电压的一种有效措施。	A
从事检修或临时排除故障、擦拭等工作必须切断动力源。	A
"从业人员发现直接危及人身安全的紧急情况时,不能停止作业或者采取可能的应急措施后撤离作业场所。"	B
从业人员负有及时、如实报告行政管理安全事故的职责。	A
从业人员有权了解其作业场所和工作岗位存在的危险因素、防范措施及事故应急措施。	A
大量酸液溢漏时，可用石灰水中和。                                           	A
单点顶复机车，适用于各类型机车的脱轨起复，但仅用于轻微性脱轨。              	B
单吊钩在使用上比双吊钩方便，受力条件比双钩好。                             	B
"单位主要负责人对安全生产事故隐瞒不报、谎报或者拖延不报的,给予降职、撤职处分。"	A
当柴油机连杆轴承磨损严重或瓦片松动时，会发出清晰的“的达的达”的敲击声。  	B
当车辆在岔心附近脱轨时，可利用道岔的护轮轨与辙叉心进行复轨。	A
当吊钩进行探伤检查，出现裂纹时，允许补焊或点击。       	B
当接触网的绝缘不良时，在回流线与钢轨的连接点上都可能出现低电压。	B
当起重机吊起重物悬空停留时，司机可以离开座位。	B
当起重量超过允许最大值时，过载保护装置启动后将关闭起重机的回转、起升和变幅机构的传动功能，此时仍可进行下降操作，将过载的重物放下。	A
"当上级违章指挥作业时,职工无权停止作业。"	B
当事故现场堵塞正线的机车车辆或货物等在短时间内难以清除，而原来正线一侧又是平坦地面时，应使用便线开通法开用线路。    	B
道岔表示器昼间为中央划有一条鱼尾形黑线的黄色鱼尾形牌表示道岔位置开通直向。	B
道岔表示器昼间无显示表示道岔位置开通侧向。	B
登乘机车、动车组司机室的人员，在影响乘务人员工作的前提下，经检验准许后方可登乘。	B
登高前应加强与有关人员的联系，做好准备工作。                                	A
登高作业不得手持重物上下，用具不得上下抛掷。                                	A
登高作业前应加强与有关人员的联系，做好准备和防护工作。   	A
"登高作业时,不得手持重物上下。"	A
登高作业时应按规定穿戴防护用品，系好安全带（绳），并挂在牢固位置上扣好安全钩环。	A
登高作业中，必要时可以手持重物上下。     	B
登高作业中，使用工具、材料及拆下的零件，必要时可以抛掷。	B
登高作业中应时刻注意站在平稳安全的位置。                 	A
涤纶绳的伸长率与载荷成反比，达到预定载荷时，其最大伸长率可达36%。          	B
"电机、电器部件进行高压、耐压试验,应在专用的试验区进行。"	A
电力机车的牵引动力是机械能，但机车本身没有原动力，而是依靠外部供电系统供应电力，并通过机车上的牵引电动机驱动列车前进。	B
电力机车上的减振器可分为两大类：一类是摩擦减振器，另一类是油压减振器。	A
电力机车升弓后可以进入高压室和变压器室。	B
电力机车升起受电弓后，机车主回路及辅助回路均带有高压电。	A
电力机车脱轨起复力法与内燃机车基本相同。   	A
电力机车一个转向架脱轨与内燃机车一个转向架脱轨时，起复方法相同。   	B
电力机车运行18～25万公里（年检），须增加双晶探头沿踏面对车轮轮辋进行探伤扫查。	A
"电力机车在库内停车时,受电弓不得停于接触网分段绝缘器处,以防烧损分段绝缘器及机车受电。"	A
电力机车在库内停车时，受电弓可以停于接触网分段绝缘器处。	B
电力机车在库内作业时，作业前要对作业经过股道有无接触网做到心中有数。	A
"电瓶总开关打开时,中央监控设备会自行启动，会出现开机画面,然后又自动消失。接着出现的是主菜单。  "	B
电气化铁路附近发生火灾时，灭火时要注意人体、消防器材与接触网带电部分保持2m安全距离。	A
电气化铁路上的各种车辆当接触网未停电并接地以前，允许攀登列车车顶在车顶上进行各种作业。 	B
电气化铁路相关作业人员每年至少进行一次安全考试，考试合格后，方准参加作业。	A
"电气化铁路沿线接触网支柱上都揭示有'高压电,禁止攀登'的警告牌或警告语。"	A
电气火灾的特点是夏季和春季发生较为突出。  	B
"电伤是指电流通过人体时,人体内部组织受到局部损坏。"	B
电线接触人体叫触电。	B
吊钩材料应具有较高的机械强度与冲击载荷作用。            	A
吊钩的危险断面高度磨损超过15％应予报废。                                   	B
吊钩钩柄产生塑性复形时，应于报废。                       	A
吊钩钩尾有螺纹部分和没有螺纹部分过渡圆角处有疲劳裂纹时应予报废。            	A
吊钩可与钢丝绳或链条等组成各种吊具。                    	A
吊钩应有制造厂标记及注明载重能力和所用材料的书面文件，否则应进行负荷试验。  	A
吊件落到车厢底前，救援起复工就可以进入车厢内垫底摘绳。                      	B
吊物件装车，当吊件尚未放入车厢时，车厢内不准有人。                          	A
吊移是用轨道起重机将事故车辆吊离线路临时放置。                             	A
吊移是用人力或拖拉机利用平面滑动作用使车辆于移。     	B
吊重作业时，支腿的支承地面应坚实、平整并铺设枕木，使用支座板，调整支腿液压缸活塞杆的伸出长度，使车体调平。支腿液压缸活塞的伸出量以不大于300mm为宜。车轮踏面以抬离轨面25mm左右为宜。                                                           	B
"顶复作业中向外横移手势信号是两臂前伸,双手握拳,大拇指向外,左右摆动。         "	A
定期对起重机吊钩进行探伤检查，发现裂纹也可以继续使用。	B
冬季气温低，多时冰天雪地、有雾。行车作业人员视觉、听觉受影响，了望困难，行动不便。	A
冬季是铁路的冬运、春运、军运的运输繁忙季节，再加上两大传统节日，职工家务忙、事情多、休息不好、精神容易分散。	A
冬季作业时，必须观察好周围地面环境，扶梯架在冰雪地上作业时，必须由两人以上辅助作业。	B
对行车有关人员，应进行日常安全生产知识和劳动纪律的教育、考核，并有计划地组织好在职人员的日常政治和技术业务学习。	A
对检查发现或上报的重大安全隐患，未立即采取控制措施和组织整治。属于青藏铁路公司生产管理类“红线”。	B
对任何人发出的停止信号，司机均应立即执行。	A
对于运行式起重机在不工作状态下，进行稳定计算，称为自重稳定性。	A
对运动中的机车、车辆施加制动力，使其停止运动或减低速度，这种作用叫做制动。 	A
对运行式起重机在吊重状态下称为自重状态稳定性。                              	B
二氧化碳灭火器使用不当，不会冻伤手指。	B
"发现接触网断线或挂有线头,绳索等物件,在接触网检修人员到达以前,应在接触网断线处所10米以外进行防护。"	A
发现牵引供电设备断线及其部件损坏，或发现牵引供电设备上挂有线头、绳索、塑料布或脱落搭接等异物，可以与之接触。	B
"发现有跨步电压危险时,应单足或并足跳离危险区,或可沿半径垂直方向迈小步慢慢退出。"	A
"发现有人乘坐在敞平车装载的货物或棚车车顶上时,应令其下车乘坐客车或安排在安全处所。"	A
"发现有人触电时,如隔离开关距离触电者较近,应立即拉开开关,切断电源。"	A
"发现有人触电时,首先应使触电者脱离电源。"	A
凡发生触犯“红线”行为，除按照《青藏铁路公司铁路交通事故和安全生产责任追究办法》、《青藏铁路公司关于高铁、客车在岗职工触犯“红线”责任追究及岗位退出管理办法》等有关规定进行责任追究外，同时取消当事人年内评先评优资格，并取消责任班组年内评先评优资格。	A
凡因踏面擦伤、剥离镟修后的机车车轮，必须采用双晶探头和直探头动车进行探伤检测。	A
凡在坠落高度基准面2m以上（不含2m）进行的修、扫、抹、擦、吊、架设、堆物等作业均称为高处作业。                                                                 	B
凡在坠落高度基准面4m以上含4m有可能坠落的高处进行的作业都称为高处作业。	B
非电工人员不得随意乱动或私自修理车间内的电气设备。	A
粉尘、腐蚀性气体会对电气设备的绝缘起破坏作用。	A
封闭式结构钢丝绳结构紧凑、强度高、耐磨性好，表面光滑，但柔性不好、不宜弯曲。	A
负载降落前，指挥人员可以不确认降落区域的安全，就可发出降落信号。	B
复轨器不能安装在钢轨接头处，腐损枕木上。                                   	A
干粉灭火器适合扑灭油类、可燃气体及电气火灾。	A
钢皮尺、直角尺、游标卡尺等属于普通量具。	B
钢丝的磨损或锈蚀程度达到或超过钢丝直径35％时可以报废。                      	B
钢丝绳、麻绳、棕绳、尼龙吊带及链条是用于捆绑、搬运和提升重物的吊索。       	A
钢丝绳的拉力值同样粗的钢丝因钢号不同，强度也不同。                          	A
钢丝绳镀锌后破断强度增强。                                                  	B
钢丝绳断2股就应于报废。    	B
